data_se,y_real,y_pred,lower_bruto,upper_bruto,fase,lower_calibrado,upper_calibrado,largura_bruta,largura_calibrada,alpha
2025-01-12,576,216.16233301112428,176.32496335147223,350.74478868938394,avaliacao,144.1842769327724,382.88547510808377,174.4198253379117,238.70119817531136,0.1
2025-01-19,726,243.66732735958584,140.42328824189505,490.23214597493666,avaliacao,108.28260182319522,522.3728323936365,349.8088577330416,414.09023057044124,0.1
2025-01-26,623,251.3554185710128,142.79111640311385,616.3892628172259,avaliacao,110.65042998441402,648.5299492359258,473.5981464141121,537.8795192515117,0.1
2025-02-02,438,240.10731396850218,115.95320864001214,390.87139728083594,avaliacao,83.8125222213123,423.01208369953576,274.9181886408238,339.1995614782235,0.1
2025-02-09,424,229.63866644191282,124.93580437339733,440.63573850233587,avaliacao,92.7951179546975,472.7764249210357,315.69993412893854,379.9813069663382,0.1
2025-02-16,313,296.1486009734852,131.22207508744734,453.2274288569827,avaliacao,99.08138866874751,485.36811527568256,322.0053537695354,386.2867266069351,0.1
2025-02-23,183,265.7868971502742,117.41335726061857,467.3487305029414,avaliacao,85.27267084191874,499.48941692164124,349.93537324232284,414.2167460797225,0.1
2025-03-02,187,241.25779551110287,63.7221849906543,367.5784536934628,avaliacao,31.58149857195447,399.7191401121626,303.8562687028085,368.13764154020816,0.1
2025-03-09,125,207.58178269637486,66.68809960897177,332.26554115218704,avaliacao,34.54741319027194,364.40622757088687,265.5774415432153,329.85881438061494,0.1
2025-03-16,105,159.45450227553502,57.48667396422872,195.05632968752468,avaliacao,25.345987545528892,227.1970161062245,137.56965572329597,201.85102856069562,0.1
2025-03-23,93,114.90835475585433,96.64936122075558,151.85125293360232,avaliacao,64.50867480205575,183.99193935230215,55.201891712846745,119.4832645502464,0.1
2025-03-30,95,106.53702703645625,83.27737483741981,106.53702703645625,avaliacao,51.136688418719984,138.6777134551561,23.259652199036438,87.54102503643611,0.1
2025-04-06,93,123.39985509233726,105.53809280859677,123.39985509233726,avaliacao,73.39740638989694,155.54054151103708,17.86176228374049,82.14313512114013,0.1
2025-04-13,56,99.24875420279537,61.96505528107329,104.36207660113715,avaliacao,29.82436886237346,136.50276301983698,42.39702132006386,106.67839415746352,0.1
2025-04-20,70,52.01425731491247,52.01425731491247,100.03215309895585,avaliacao,19.87357089621264,132.1728395176557,48.017895784043375,112.29926862144305,0.1
2025-04-27,52,59.39915133614518,38.471200524467285,81.11986822333786,avaliacao,6.330514105767456,113.26055464203769,42.648667698870575,106.93004053627024,0.1
2025-05-04,55,58.29571623545885,37.21403125013864,72.61343350033684,avaliacao,5.07334483143881,104.75411991903667,35.3994022501982,99.68077508759785,0.1
2025-05-11,50,45.995981384180354,44.45073989743966,63.6385786660436,avaliacao,12.310053478739832,95.77926508474343,19.18783876860394,83.4692116060036,0.1
2025-05-18,34,43.0325708386618,30.71498820338806,54.75285271966361,avaliacao,0.0,86.89353913836344,24.037864516275548,86.89353913836344,0.1
2025-05-25,31,30.893414736281116,27.372428999401823,40.927165933399685,avaliacao,0.0,73.06785235209952,13.554736933997862,73.06785235209952,0.1
2025-06-01,33,22.64542711678363,22.64542711678363,35.83905581277892,avaliacao,0.0,67.97974223147875,13.193628695995294,67.97974223147875,0.1
2025-06-08,23,31.858828893047985,22.697809850833302,38.140388644750004,avaliacao,0.0,70.28107506344983,15.442578793916702,70.28107506344983,0.1
2025-06-15,12,22.861196004801418,14.22881211841247,29.13284145859958,avaliacao,0.0,61.27352787729941,14.904029340187108,61.27352787729941,0.1
2025-06-22,17,19.338182962174997,8.907937417401978,29.550957983601613,avaliacao,0.0,61.69164440230144,20.643020566199635,61.69164440230144,0.1
2025-06-29,24,15.406483289250126,11.004726795111596,24.685578508023568,avaliacao,0.0,56.8262649267234,13.680851712911972,56.8262649267234,0.1
2025-07-06,27,21.9935538094081,15.235304011757329,33.36184859291538,avaliacao,0.0,65.50253501161521,18.12654458115805,65.50253501161521,0.1
2025-07-13,21,21.15617188381784,15.442009090232457,26.02911844322098,avaliacao,0.0,58.16980486192081,10.587109352988524,58.16980486192081,0.1
2025-07-20,15,19.388591231031008,9.678107494998331,29.35679674503076,avaliacao,0.0,61.49748316373059,19.678689250032427,61.49748316373059,0.1
2025-07-27,22,15.286851047097421,9.384094302213136,23.601994241363606,avaliacao,0.0,55.742680660063435,14.21789993915047,55.742680660063435,0.1
2025-08-03,18,18.945935515419993,10.789517979165312,22.200872800086493,avaliacao,0.0,54.34155921878632,11.411354820921181,54.34155921878632,0.1
2025-08-10,36,17.73671602687959,11.54124107537881,25.023388985640416,avaliacao,0.0,57.164075404340245,13.482147910261606,57.164075404340245,0.1
2025-08-17,24,25.35320321414286,25.35320321414286,34.534962913187556,avaliacao,0.0,66.67564933188739,9.181759699044697,66.67564933188739,0.1
