data_previsao,data_alvo,horizonte,municipio_id,y_real,y_pred_recursivo,y_naive,y_mm4,y_pred_direto,ano_alvo,periodo
2023-07-02,2023-07-16,3,5108402,12,14.548760783597283,19,23.25,8.752824808757778,2023,2023
2023-07-02,2023-07-23,4,5103403,14,10.536442346439369,17,25.75,13.217640870065255,2023,2023
2023-07-02,2023-07-23,4,5108402,14,9.702397549515567,19,23.25,9.636297959107674,2023,2023
2023-07-09,2023-07-09,1,5103403,20,16.85357064299059,22,23.75,17.288755678157507,2023,2023
2023-07-09,2023-07-09,1,5108402,17,14.452590777086119,20,20.75,9.346679732077645,2023,2023
2023-07-09,2023-07-16,2,5103403,11,18.57620537830495,22,23.75,11.723682668827417,2023,2023
2023-07-09,2023-07-16,2,5108402,12,14.036342047959103,20,20.75,9.198546511194719,2023,2023
2023-07-09,2023-07-23,3,5103403,14,9.493525824627518,22,23.75,8.173192831808755,2023,2023
2023-07-09,2023-07-23,3,5108402,14,9.278636760336303,20,20.75,8.197340152975679,2023,2023
2023-07-09,2023-07-30,4,5103403,9,10.268915378909053,22,23.75,9.545569219920017,2023,2023
2023-07-09,2023-07-30,4,5108402,17,11.379813761967167,20,20.75,9.827762666636184,2023,2023
2023-07-16,2023-07-16,1,5103403,11,19.496272052970728,20,23.0,12.355331954431001,2023,2023
2023-07-16,2023-07-16,1,5108402,12,13.630726855310423,17,20.0,11.467248572222307,2023,2023
2023-07-16,2023-07-23,2,5103403,14,10.71409940555878,20,23.0,9.602221043807228,2023,2023
2023-07-16,2023-07-23,2,5108402,14,9.923033750009933,17,20.0,11.140275547698408,2023,2023
2023-07-16,2023-07-30,3,5103403,9,10.557960092079288,20,23.0,8.588469238824652,2023,2023
2023-07-16,2023-07-30,3,5108402,17,11.585853730205415,17,20.0,10.769506461264005,2023,2023
2023-07-16,2023-08-06,4,5103403,8,7.629156840368477,20,23.0,10.047749378515615,2023,2023
2023-07-16,2023-08-06,4,5108402,16,13.382429397260633,17,20.0,14.57551265623898,2023,2023
2023-07-23,2023-07-23,1,5103403,14,9.530499664935684,11,17.5,13.256023324021537,2023,2023
2023-07-23,2023-07-23,1,5108402,14,9.909201502646374,12,17.0,11.60046836354577,2023,2023
2023-07-23,2023-07-30,2,5103403,9,10.173306175953071,11,17.5,11.495250681150285,2023,2023
2023-07-23,2023-07-30,2,5108402,17,10.252432181294447,12,17.0,11.452791284518822,2023,2023
2023-07-23,2023-08-06,3,5103403,8,7.728173990627031,11,17.5,9.959791225296211,2023,2023
2023-07-23,2023-08-06,3,5108402,16,13.464299266127314,12,17.0,12.665225049960412,2023,2023
2023-07-23,2023-08-13,4,5103403,16,11.982246058283414,11,17.5,7.87264705546281,2023,2023
2023-07-23,2023-08-13,4,5108402,11,10.930988878524088,12,17.0,9.188057843429934,2023,2023
2023-07-30,2023-07-30,1,5103403,9,10.718741942977996,14,16.75,11.355396471609733,2023,2023
2023-07-30,2023-07-30,1,5108402,17,11.34015071519351,14,15.75,11.1136009981557,2023,2023
2023-07-30,2023-08-06,2,5103403,8,7.918395409200324,14,16.75,9.442564856231739,2023,2023
2023-07-30,2023-08-06,2,5108402,16,12.977646528159262,14,15.75,9.346366933191723,2023,2023
2023-07-30,2023-08-13,3,5103403,16,11.794719670779555,14,16.75,9.775950085698012,2023,2023
2023-07-30,2023-08-13,3,5108402,11,10.230610737718083,14,15.75,9.893232016075542,2023,2023
2023-07-30,2023-08-20,4,5103403,12,13.008095533361114,14,16.75,7.156545286047892,2023,2023
2023-07-30,2023-08-20,4,5108402,15,10.005715523920149,14,15.75,7.435091121678214,2023,2023
2023-08-06,2023-08-06,1,5103403,8,7.344906548553835,9,13.5,9.131193421234073,2023,2023
2023-08-06,2023-08-06,1,5108402,16,13.195119573118655,17,15.0,9.202233065418719,2023,2023
2023-08-06,2023-08-13,2,5103403,16,10.425400971975016,9,13.5,7.299086078670118,2023,2023
2023-08-06,2023-08-13,2,5108402,11,10.880403531399566,17,15.0,7.115644571272059,2023,2023
2023-08-06,2023-08-20,3,5103403,12,13.272502611218274,9,13.5,7.543615059462315,2023,2023
2023-08-06,2023-08-20,3,5108402,15,12.425465126896917,17,15.0,9.121512282717994,2023,2023
2023-08-06,2023-08-27,4,5103403,8,9.304210819527713,9,13.5,9.6620021282661,2023,2023
2023-08-06,2023-08-27,4,5108402,12,10.526898595419462,17,15.0,12.176071078990889,2023,2023
2023-08-13,2023-08-13,1,5103403,16,10.417193974444512,8,10.5,12.424001550771933,2023,2023
2023-08-13,2023-08-13,1,5108402,11,10.435485297687851,16,14.75,10.234081444320948,2023,2023
2023-08-13,2023-08-20,2,5103403,12,12.549358652659713,8,10.5,10.83358947066644,2023,2023
2023-08-13,2023-08-20,2,5108402,15,11.605665083505347,16,14.75,10.718889939258563,2023,2023
2023-08-13,2023-08-27,3,5103403,8,9.598910758021963,8,10.5,10.977894103214924,2023,2023
2023-08-13,2023-08-27,3,5108402,12,11.000982356849581,16,14.75,12.79472212392729,2023,2023
2023-08-13,2023-09-03,4,5103403,11,12.190237321475916,8,10.5,11.833887307577152,2023,2023
2023-08-13,2023-09-03,4,5108402,5,10.632223131299474,16,14.75,10.022123787633134,2023,2023
2023-08-20,2023-08-20,1,5103403,12,12.18119068721238,16,11.75,8.567898881996655,2023,2023
2023-08-20,2023-08-20,1,5108402,15,11.140422612342824,11,14.5,12.199346311764108,2023,2023
2023-08-20,2023-08-27,2,5103403,8,9.527222877915163,16,11.75,9.469644159241803,2023,2023
2023-08-20,2023-08-27,2,5108402,12,10.494795110497003,11,14.5,12.111348931657332,2023,2023
2023-08-20,2023-09-03,3,5103403,11,11.532658018114772,16,11.75,11.018977770573171,2023,2023
2023-08-20,2023-09-03,3,5108402,5,9.629271129234995,11,14.5,13.289760615811888,2023,2023
2023-08-20,2023-09-10,4,5103403,8,9.374565119712932,16,11.75,10.065282976603473,2023,2023
2023-08-20,2023-09-10,4,5108402,9,7.810964440491716,11,14.5,9.628212863940911,2023,2023
2023-08-27,2023-08-27,1,5103403,8,10.200860194273105,12,11.25,10.053221045877468,2023,2023
2023-08-27,2023-08-27,1,5108402,12,12.883425687036429,15,14.75,10.785799429818992,2023,2023
